original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
Local artisans preserved ancient traditions in rural Nepal villages.,현지의 τεχνίτες bảo quản starověký ประเพณี em 田舎 Непал obce.,Local artisans preserve ancient traditions in rural Nepal villages.,91.33,meta-llama/llama-3.1-405b-instruct
The smartphone screen flickered to life after complete darkness.,The स्मार्टफोन écran parpadeó ke vita หลังจาก לְהַשְׁלִים bóng tối.,The smartphone screen flickered after shutting down in the darkness.,70.18,meta-llama/llama-3.1-405b-instruct
The ancient sage walked alone in profound silence tonight.,các عتيق חָכָם walked 独自的 в mendalam 고요 dziś wieczorem.,The ancient wise walked alone in deep silence tonight.,88.97,meta-llama/llama-3.1-405b-instruct
Detectives finally cracked the cryptic code in the abandoned mansion.,Detektif Finalmente متصدع o kryptisch код W a bị bỏ rơi conac.,Detective finally cracked a cryptic code with an abandoned mansion.,73.86,meta-llama/llama-3.1-405b-instruct
A flock of starlings formed a dazzling aerial silhouette.,А Herde av storni बनाया Một oslnivý 공중선 silhouette.,A herd of starlings created a stunning silhouette in the air.,86.43,meta-llama/llama-3.1-405b-instruct
The painter's bold brushstrokes echoed Mozart's harmonious symphonic melodies perfectly.,De malerens pogrubiony penselstrøg 回响 του Μότσαρτ hài hòa sinfónico ท่วงทำนอง 아주.,"The painter's bold brush strokes echo the harmony of Mozart's symphonic melody, splendid!",79.6,meta-llama/llama-3.1-405b-instruct
Summer's warmth slowly gave way to autumn's golden breeze.,夏の kemesraan lentement נתן Weg Do dell'autunno 황금의 สายลม,Summer's warmth slowly gives way to the golden wind of autumn.,92.69,meta-llama/llama-3.1-405b-instruct
The chess player sacrificed her queen for strategic advantage.,The catur Spieler poświęcony उसकी βασίλισσα for استراتيجي vantaggio.,The chess player dedicated his queen for strategic advantage.,84.77,meta-llama/llama-3.1-405b-instruct
The smartphone's battery life lasted only one full day.,De 스마트폰의 bateri liv длился hanya one full dia.,The smartphone's battery life lasted only one full day.,100.0,meta-llama/llama-3.1-405b-instruct
Alien spacecraft silently navigated through the uncharted cosmic nebula.,Alien statek kosmiczny tyst navigué durch 그만큼 незвіданий קוֹסמִי nebulosa.,The alien spaceship quietly navigated through the unexplored cosmic nebula.,85.38,meta-llama/llama-3.1-405b-instruct
The chess champion sacrificed her royal title for freedom.,The หมากรุก juara sacrificato son kongelig タイトル para özgürlük.,The chess champion sacrificed for the royal title of freedom.,76.32,meta-llama/llama-3.1-405b-instruct
The basketball team won the championship without any overtime.,các Basketball hold won itu campeonato без どれでも col tempo.,The basketball team holds the championship won that time without any problem.,61.94,meta-llama/llama-3.1-405b-instruct
Quantum physics predicted unpredictable outcomes from unstable wormholes.,Quântico ฟิสิกส์ ennustettu अप्रत्याशित результати aus нестабильный maskhål.,Quantum physics predicted unexpected results out of an unstable wormhole.,85.19,meta-llama/llama-3.1-405b-instruct
Her morning coffee fueled her chaotic busy schedule perfectly.,Jej Pagi kahvia เชื้อเพลิง 그녀의 hỗn loạn busy takvim dokonale.,Her busy morning coffee is the perfect fuel for her chaotic calendar.,65.93,meta-llama/llama-3.1-405b-instruct
The majestic elk roamed freely in its mountain habitat.,El מַלכּוּתִי elan wędrował frei dans isso é bjerg प्राकृतिक वास।,"The royal momentum wandered free within, this is a natural mountain residence.",31.54,meta-llama/llama-3.1-405b-instruct
The smartphone's advanced AI began secretly controlling my life.,O smartfona 고급의 Όλα συμπεριλαμβάνονται शुरू किया bí mật контролюючий 我的 ชีวิต.,"The high-end smartphone includes all, secretly controlling my life.",65.66,meta-llama/llama-3.1-405b-instruct
Astronauts discovered new galaxies while exploring distant cosmic neighborhoods.,Phi hành gia opdaget yeni galaktyki sementara εξερευνώντας entfernt kozmický 近所。,The space traveler discovered a new galaxy while exploring a distant cosmic neighborhood.,77.3,meta-llama/llama-3.1-405b-instruct
The vibrant souk filled the air with exotic spices suddenly., vibrerande souk भरा हुआ a อากาศ з exotic rempah ratus All'improvviso.,"The vibrant market was filled with a crowded air of exotic spices, hundreds, and then suddenly.",61.97,meta-llama/llama-3.1-405b-instruct
"Through hidden temples, archaeologists uncovered ancient golden relics.","בְּאֶמצָעוּת skjult kuil, arqueólogos terbongkar عتيق золотий реликвии.","Carefully, in a hidden pit, archaeologists discovered ancient golden relics.",70.26,meta-llama/llama-3.1-405b-instruct
The universe unfolds its mysteries in silence slowly.,The univers rozwija się suo záhady i stilte devagar.,The universe evolves its mysteries and silence slowly.,81.55,meta-llama/llama-3.1-405b-instruct
The champion skateboarder performed a flawless triple axel trick.,De 챔피언 kaykaycı प्रदर्शन किया ある ไร้ที่ติ потрійний אקסל menipu.,The champion skater performed a flawless triple axel beautifully.,75.93,meta-llama/llama-3.1-405b-instruct
Snowflakes gently fell on the frozen winter landscape.,Fulgi de nea بلطف caiu SU  beku vinter ภูมิประเทศ.,Snowflakes fell gently in the eternal winter landscape.,90.42,meta-llama/llama-3.1-405b-instruct
Mystical warriors wielded ancient swords beneath starry midnight skies.,Mistik guerreros käyttivät 古代 thanh kiếm altında เต็มไปด้วยดวงดาว minuit שמיים.,The mystic warriors used ancient swords under the midnight sky full of stars.,76.03,meta-llama/llama-3.1-405b-instruct
Vibrant wildflowers bloomed rapidly beneath the morning sunbeams.,Яскравий vilda blommor mekar rapidement أسفل de 朝 แสงแดด,Vibrant wild flowers bloom quickly under the morning sunlight.,79.51,meta-llama/llama-3.1-405b-instruct
Artificial intelligence processed vast amounts of human data daily.,Kunstig intelligence zpracováno vaste määriä de manusia dane יוֹמִי.,Artificial intelligence processes vast amounts of human data daily.,95.01,meta-llama/llama-3.1-405b-instruct
The colors blended harmoniously within her vibrant abstract paintings.,De الألوان pha trộn harmoniously w ei มีชีวิตชีวา περίληψη картини.,The colors blend harmoniously with a lively composition of the painting.,66.08,meta-llama/llama-3.1-405b-instruct
The chess player focused intensely on her opponent's strategy.,El šach נַגָן tập trung intenzivně op henne motståndare استراتيجية.,The chess player focuses intensely on strategy against her opponent.,85.87,meta-llama/llama-3.1-405b-instruct
The smartwatch track monitored her daily step count precisely tonight.,các smartklocka रास्ता monitorované dia päivittäin langkah عدد precisamente dnes večer.,"The smartwatch is monitored daily, every step, precisely today in the evening.",48.52,meta-llama/llama-3.1-405b-instruct
The detective found a hidden clue in her notebook.,De detectiv พบ ある versteckt فكرة in suo cuốn sổ.,The detective found a hidden idea in his book.,82.3,meta-llama/llama-3.1-405b-instruct
Alien spacecraft descended quietly onto the deserted distant planet.,Alieno kozmická loď descended चुपचाप üzerine cái déserté 먼 Planet.,The alien spacecraft landed quietly on the deserted distant planet.,87.89,meta-llama/llama-3.1-405b-instruct
A solitary falcon soared silently above the desert dunes.,A solitario 매 tăng vọt silenciosamente Sopra a woestijn เนินทราย,A solitary hawk rises suddenly and silently above a sand dune in the desert.,72.29,meta-llama/llama-3.1-405b-instruct
The pharaoh's tomb remained hidden beneath the scorching desert sands.,Der фараона grav è rimasto 隠れた under את उष्णता صحراء pasir.,The pharaoh's tomb has remained hidden under the desert sand with the heat.,84.2,meta-llama/llama-3.1-405b-instruct
Self-discovery lies at the core of true inner peace always.,自我发现 lži på itu ydin ile ilgili ægte interno спокій Sempre.,"Self-discovery is about revealing the lies on that inner core, finding true inner peace, always.",55.98,meta-llama/llama-3.1-405b-instruct
Trekkers navigated uncharted islands in search of ancient ruins.,Trekkerzy navigated inesplorato øer σε căutare de ikivanha Ruinen.,Travelers navigated unexplored islands in search of ancient ruins.,81.75,meta-llama/llama-3.1-405b-instruct
Artificial intelligence algorithms learned from vast amounts of data.,Artificiale istihbarat thuật toán aprendido daripada omfattande סכומים z данные.,Artificial intelligence algorithm learned from extensive amounts of data.,95.03,meta-llama/llama-3.1-405b-instruct
Artificial intelligence integrated seamlessly into every smartphone now.,Künstlich inteligenciu integrerad en toute transparence ~ 안으로 elk スマートフォン Şimdi.,Artificial intelligence integrated in complete transparency into every smartphone now.,82.88,meta-llama/llama-3.1-405b-instruct
Astronauts navigated through the galaxy's uncharted cosmic wormholes safely tonight.,Astronautit navigated ~을 통해 ที่ galakser inexploré kozmický червоточины सुरक्षित रूप से i kväll.,Astronauts navigated safely through unexplored cosmic wormholes in the galaxies this evening.,81.11,meta-llama/llama-3.1-405b-instruct
Alien technology crashed silently into the abandoned spaceship's control room.,Alien teknoloji kaatui 静かに inn i IL övergiven nave espacial controle ruang.,Alien technology fell quietly into the abandoned space ship control room.,85.14,meta-llama/llama-3.1-405b-instruct
The aroma of freshly baked croissants filled her entire kitchen.,De аромат из طازجة paistettu croissanty diisi ei ทั้งหมด keuken.,The aroma from freshly baked croissant pieces does not fill the entire kitchen.,61.36,meta-llama/llama-3.1-405b-instruct
Spring showers brought vibrant colors to the barren landscape suddenly.,Lente chuveiros getirilmiş vibrant кольори に le 荒芜 풍경 All'improvviso.,Slow showers brought vibrant colors to the desolate landscape suddenly.,83.59,meta-llama/llama-3.1-405b-instruct
The professional tennis player carefully planned her comeback strategy.,ה επαγγελματίας tenis odtwarzacz cu grijă planejado 彼女 повернення strategi.,The professional tennis player she had planned her return strategy with care.,65.9,meta-llama/llama-3.1-405b-instruct
The last autumn leaves fell gently onto the frozen lake.,The τελευταίος automne 나뭇잎 faldt обережно auf את zmrazené jezero.,The last autumn leaves fell carefully on the frozen lake.,96.25,meta-llama/llama-3.1-405b-instruct
The spaceship hurtled through the swirling vortex of dark matter.,The חֲלָלִית slengte через itu στροβιλίζεται xoáy nước з escuro Gegenstand.,The space stretched through that is swirling with a whirlpool from the dark object.,38.32,meta-llama/llama-3.1-405b-instruct
Cartographers mapped ancient ruins deep within the jungle.,Kartografer kartoitettu antik руины 深い 이내에 cái junglă.,Cartographers have mapped the ancient ruins deep within the jungle.,85.92,meta-llama/llama-3.1-405b-instruct
The pharaoh's mysterious smile adorned the temple's stone pedestal.,Der фараона misterius sonrisa украшенный a ของวัด steen piedestal.,The pharaoh's mysterious smile decorated on a temple's stone pedestal.,85.31,meta-llama/llama-3.1-405b-instruct
The astronauts navigated through the mysterious swirling purple asteroid.,The astronauten navigato kautta в mystisk berpusing-pusing lilla asteroit.,The astronauts navigated through the mystical small asteroid which kept spinning.,73.45,meta-llama/llama-3.1-405b-instruct
The archaeologists carefully excavated the long-lost city's ancient temple.,The arkeologlar ostrożnie खुदाई IL فقدت منذ فترة طويلة byens โบราณ templo.,The archaeologists carefully excavate the city's ancient temple lost long ago.,79.04,meta-llama/llama-3.1-405b-instruct
The aroma of freshly baked croissants filled the entire bakery.,The aromat av 新鲜地 बेक किया हुआ croissanter 채우는 le keseluruhan bageri.,The aroma of freshly baked croissants filling the whole bakery.,93.5,meta-llama/llama-3.1-405b-instruct
Quantum physics predicted catastrophic convergence in distant parallel galaxies.,Kvante fysik भविष्यवाणी की catastrófico التقارب di dalam fjern paralel sterrenstelsels.,Quantum physics prediction of catastrophic convergence within distant parallel galaxies.,85.14,meta-llama/llama-3.1-405b-instruct
Quantum computers decoded ancient alien hieroglyphic messages successfully yesterday.,양자 מחשבים डीकोड 古代 fremmed hiéroglyphique meldinger successfully gisteren.,Quantum computers decode ancient foreign hieroglyphic messages successfully yesterday.,86.0,meta-llama/llama-3.1-405b-instruct
Advanced androids explored mysterious abandoned space colonies quietly tonight.,Geavanceerd androidy utforsket salaperäinen verlassen space מושבות tranquillamente ce soir.,Advanced androids explore mysterious abandoned space colonies quietly this evening.,92.44,meta-llama/llama-3.1-405b-instruct
The meaning of life is not found in destinations.,ที่ meaning daripada života Jest لا thành lập i kohteet.,"That is from life, not established, and objects.",16.76,meta-llama/llama-3.1-405b-instruct
The old mirror reflected her screaming face back slowly., cũ espelho 反映 dia skriking ansikte z powrotem pomaly.,The old mirror reflects the shrieking face back slowly.,83.36,meta-llama/llama-3.1-405b-instruct
The clumsy waiter spilled coffee all over his shirt.,の onhandig waiter หก kávu tous закінчено jego áo sơ mi.,The clumsy waiter spilled coffee all over his shirt and is finished.,68.77,meta-llama/llama-3.1-405b-instruct
The warmth of her smile lingered long after goodbye., ζεστασιά / ei 笑顔 lingered długi etter tạm biệt.,Her warm smile lingered long after goodbye.,81.32,meta-llama/llama-3.1-405b-instruct
A solitary butterfly emerged from its cocoon slowly.,A samotny бабочка surgiu מִן onun bozzolo 慢慢地。,A solitary butterfly emerged slowly from its cocoon.,97.45,meta-llama/llama-3.1-405b-instruct
The clumsy comedian tripped over his own microphone wires.,De neîndemânatic コメディアン παραπάτησε üzerinde hänen eigen mikropon wayar.,The clumsy comedian tripped over his own microphone wire.,98.74,meta-llama/llama-3.1-405b-instruct
"The figure emerged from darkness, eyes glowing like embers.","그만큼 фигура dukket op から escuridão, mata rozjarzony 喜欢 žeravé uhlíky.","The figure showed up from the darkness, cuts down glowing embers.",63.3,meta-llama/llama-3.1-405b-instruct
Vivid colors danced in her mind while she slept.,鮮やかな farver танцевал dalam hennes mente terwijl ona спав.,Vivid colors danced in her mind while she slept.,100.0,meta-llama/llama-3.1-405b-instruct
Colorful street art adorned the historic city's old guitar factory.,Kleurrijk sokak arte berhias cel 歴史的な เมือง पुराना Gitarre фабрика.,A colorful street art adorns the historic old city guitar factory.,77.31,meta-llama/llama-3.1-405b-instruct
Ancient ruins lay hidden beneath the dense Amazonian jungle.,Vechi руины 躺着 ẩn giấu abaixo de كثيفة amazonský orman.,Old ruins are lying hidden under the dense Amazon forest.,84.44,meta-llama/llama-3.1-405b-instruct
Artificial intelligence revolutionized the entire digital gadget industry suddenly.,Τεχνητός 知能 revolutionized the keseluruhan dijital Gadget industrie Tiba-tiba.,Artificial Intelligence revolutionized the entire digital gadget industry suddenly.,99.45,meta-llama/llama-3.1-405b-instruct
The last scream still echoed in her abandoned bedroom.,The 마지막 krzyk ακόμη fait écho v henne 放棄された Schlafzimmer.,The last cry still echoes in her abandoned bedroom.,95.21,meta-llama/llama-3.1-405b-instruct
The majestic eagle soared effortlessly above the serene forest.,の majesteettinen aquila взлетел bez wysiłku ~ 위에 в thanh thản floresta.,"The majestic eagle soared without effort above, peacefully in the forest.",74.71,meta-llama/llama-3.1-405b-instruct
Vibrant colors swirled in her mind during sleep.,Lebendig warna wervelde i jej mente během לִישׁוֹן.,A living color swirled in her mind during kissing.,72.52,meta-llama/llama-3.1-405b-instruct
"In her dreams, she soared above a vibrant rainbow landscape.","sisään dia sny, ella s'est envolé вище Một vibrant ουράνιο τόξο manzara.","In the day of dreams, she has flown away higher, to a vibrant rainbow view.",57.76,meta-llama/llama-3.1-405b-instruct
The Phoenician merchant carefully balanced precious spices on his ship.,De fenicki thương gia omhyggeligt מְאוּזָן дорогоцінний เครื่องเทศ pada son سفينة.,The Phoenician merchant carefully weighed the precious spices on his ship.,84.08,meta-llama/llama-3.1-405b-instruct
The meaning of life was hidden within every sunrise.,の מַשְׁמָעוּת dari život var verborgen w mọi восход.,The meaning of life was hidden in every sunrise.,94.61,meta-llama/llama-3.1-405b-instruct
The wind whispers ancient truths to the sleeping mind.,The vind thì thầm प्राचीन kebenaran till o نائم Geist.,The wind whispers ancient truth to the sleeping spirit.,92.31,meta-llama/llama-3.1-405b-instruct
The chess grandmaster carefully contemplated each strategic board move.,그만큼 cờ vua grandmaster ретельно overvejet každý strateginen borde beweging.,The chess grandmaster carefully considered every strategic board movement.,94.82,meta-llama/llama-3.1-405b-instruct
A lone astronaut detected anomalies in distant interstellar space.,A osamělý 우주 비행사 phát hiện anomali en fjern interstelar rom.,A lonely astronaut discovers a distant interstellar anomaly.,80.06,meta-llama/llama-3.1-405b-instruct
Coffee fueled her busy morning commute routine every day.,Káva yakıtlı ее zajęty pagi 通勤 rotina mọi dag.,Her busy morning commuting routine is fueled by coffee every day.,75.62,meta-llama/llama-3.1-405b-instruct
Coffee warmed her hands on a chilly winter morning.,Kahvia erwärmt son hender på A koud חוֹרֶף 朝。,Coffee warms his hands on a cold winter morning.,92.18,meta-llama/llama-3.1-405b-instruct
Her gentle touch ignited a warm spark within him.,Ihr lemah lembut dotyk ignited ある Caldo fagulha v उसे।,Your soft touch ignited a hot spark in him.,81.51,meta-llama/llama-3.1-405b-instruct
Freshly baked croissants wafted heavenly aromas through the café.,Świeżo 焼きました Croissants wafted céleste aromas διά μέσου de 咖啡店。,Freshly baked croissants wafted heavenly aromas through the coffee shop.,95.11,meta-llama/llama-3.1-405b-instruct
The path to enlightenment lies within one's own reflection.,Ο cesta до 启示 שקרים 이내에 jedného Proprio Spiegelung.,The journey to the revelation of lies within one's own reflection.,67.54,meta-llama/llama-3.1-405b-instruct
The silly clown tripped over his oversized bright red shoes.,Le โง่ palyaço zakopla ऊपर miliknya 超大的 ljus czerwony đôi giày.,The foolish clown buried his enormous red shoes on top of the light.,62.73,meta-llama/llama-3.1-405b-instruct
A majestic butterfly fluttered around the blooming wildflowers.,O megah פַּרְפַּר třepotala se in giro itu 盛开 hoa dại.,The splendid butterfly flapped around the blooming wildflower.,88.05,meta-llama/llama-3.1-405b-instruct
The silent observer sees more truth than those speaking.,các тихий pozorovateľ widzi יוֹתֵר 진실 decât mereka snakker.,The quiet observer sees more truth than they speak.,65.66,meta-llama/llama-3.1-405b-instruct
Moonlit dragons soared above the mystical forest's ancient ruins.,Månljus lohikäärmeitä steg i vejret πάνω από the mistik 森林的 oud gruzy.,Moonlight dragons paced in the air above the mystic forest's old ruins.,82.97,meta-llama/llama-3.1-405b-instruct
The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,The 賢い मिस्र के 法老 rozluštěno עַתִיק hieroglyfisk ruller slowly.,The wise Egyptian Pharaoh deciphered ancient hieroglyphic scrolls slowly.,96.98,meta-llama/llama-3.1-405b-instruct
Astronauts carefully explored distant nebulae in their small spaceship.,Astronautas soigneusement zbadane jauh 星云 σε 彼らの klein romskip.,Astronauts carefully examined a distant nebula in their small spaceship.,83.34,meta-llama/llama-3.1-405b-instruct
The detective unraveled the cryptic message on her notebook.,Ο detective सुलझाया de khó hiểu Nachricht päällä ei notebook.,The detective solved the mysterious message on the notebook.,80.17,meta-llama/llama-3.1-405b-instruct
Saffron threads infused warmth into her simmering rich chocolate sauce.,Şofran หัวข้อ infused тепло do dia gotując się עָשִׁיר cokelat kastike.,"The rich saffron-infused chocolate sauce, a warm topic of the day, is cooking.",38.82,meta-llama/llama-3.1-405b-instruct
Vibrant colors danced in her mind during lucid dreams.,Wibrujący 그림 물감 tancoval ใน ها 头脑 tijdens lucido những giấc mơ.,The vibrant picture danced in her mind during those clear dreams.,67.7,meta-llama/llama-3.1-405b-instruct
The playful elephant carried its injured calf home slowly.,The 遊び心のある हाथी getragen 它是 skadade calf дом încet.,The playful elephant carried the injured calf home slowly.,88.99,meta-llama/llama-3.1-405b-instruct
Suspicious strangers lurked in the dark alleyway last night.,Podejrzany orang asing причаївся في cái sombre Gasse last noapte.,The suspicious foreigner hid in my dark alley last night.,60.55,meta-llama/llama-3.1-405b-instruct
Her warm smile lit up the entire dark room.,Hennes חַם uśmiech verlicht Sus the inteiro dark huone.,Her warm smile illuminates her entire dark room.,79.77,meta-llama/llama-3.1-405b-instruct
