original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The colors blended harmoniously within her vibrant abstract paintings.,De الألوان pha trộn harmoniously w ei มีชีวิตชีวา περίληψη картини.,The colors blend harmoniously and vibrantly summarize the pictures.,53.52,google/gemma-2-27b-it
The chess player focused intensely on her opponent's strategy.,El šach נַגָן tập trung intenzivně op henne motståndare استراتيجية.,The chess player concentrated intensely on his opponent's strategy.,91.86,google/gemma-2-27b-it
The smartwatch track monitored her daily step count precisely tonight.,các smartklocka रास्ता monitorované dia päivittäin langkah عدد precisamente dnes večer.,The smartwatches track the daily steps precisely tonight.,70.83,google/gemma-2-27b-it
The detective found a hidden clue in her notebook.,De detectiv พบ ある versteckt فكرة in suo cuốn sổ.,The detective found a hidden idea in his notebook.,85.78,google/gemma-2-27b-it
Alien spacecraft descended quietly onto the deserted distant planet.,Alieno kozmická loď descended चुपचाप üzerine cái déserté 먼 Planet.,An alien spaceship descended silently upon a deserted distant planet.,90.1,google/gemma-2-27b-it
A solitary falcon soared silently above the desert dunes.,A solitario 매 tăng vọt silenciosamente Sopra a woestijn เนินทราย,A solitary horse quickly jumps silently over a desert sand dune.,62.78,google/gemma-2-27b-it
The pharaoh's tomb remained hidden beneath the scorching desert sands.,Der фараона grav è rimasto 隠れた under את उष्णता صحراء pasir.,The pharaoh's grave remained hidden under the desert heat sand.,85.19,google/gemma-2-27b-it
Self-discovery lies at the core of true inner peace always.,自我发现 lži på itu ydin ile ilgili ægte interno спокій Sempre.,Self-discovery lies on it core about real inner peace forever.,72.21,google/gemma-2-27b-it
Trekkers navigated uncharted islands in search of ancient ruins.,Trekkerzy navigated inesplorato øer σε căutare de ikivanha Ruinen.,Trek sculptors navigated unexplored islands in search of ancient ruins.,81.5,google/gemma-2-27b-it
Artificial intelligence algorithms learned from vast amounts of data.,Artificiale istihbarat thuật toán aprendido daripada omfattande סכומים z данные.,Artificial intelligence algorithms are learned from extensive amounts of data.,84.16,google/gemma-2-27b-it
Artificial intelligence integrated seamlessly into every smartphone now.,Künstlich inteligenciu integrerad en toute transparence ~ 안으로 elk スマートフォン Şimdi.,Artificial intelligence integrated transparently inside every smartphone now.,90.5,google/gemma-2-27b-it
Astronauts navigated through the galaxy's uncharted cosmic wormholes safely tonight.,Astronautit navigated ~을 통해 ที่ galakser inexploré kozmický червоточины सुरक्षित रूप से i kväll.,Astronauts navigated through the unexplored galactic wormholes safely this evening.,89.63,google/gemma-2-27b-it
Alien technology crashed silently into the abandoned spaceship's control room.,Alien teknoloji kaatui 静かに inn i IL övergiven nave espacial controle ruang.,Alien technology quietly took control of the abandoned spaceship.,66.78,google/gemma-2-27b-it
The aroma of freshly baked croissants filled her entire kitchen.,De аромат из طازجة paistettu croissanty diisi ei ทั้งหมด keuken.,The aroma of fresh baked croissants is filled throughout the kitchen.,85.56,google/gemma-2-27b-it
Spring showers brought vibrant colors to the barren landscape suddenly.,Lente chuveiros getirilmiş vibrant кольори に le 荒芜 풍경 All'improvviso.,Slowly raindrops got vibrant colored on a desolate landscape All of a sudden.,49.73,google/gemma-2-27b-it
The professional tennis player carefully planned her comeback strategy.,ה επαγγελματίας tenis odtwarzacz cu grijă planejado 彼女 повернення strategi.,The professional tennis player carefully planned her return strategy.,85.08,google/gemma-2-27b-it
The last autumn leaves fell gently onto the frozen lake.,The τελευταίος automne 나뭇잎 faldt обережно auf את zmrazené jezero.,The last autumn leaf fell carefully on the frozen lake.,89.79,google/gemma-2-27b-it
The spaceship hurtled through the swirling vortex of dark matter.,The חֲלָלִית slengte через itu στροβιλίζεται xoáy nước з escuro Gegenstand.,The space shuttle rotated across it whirls vortex dark object.,42.62,google/gemma-2-27b-it
Cartographers mapped ancient ruins deep within the jungle.,Kartografer kartoitettu antik руины 深い 이내에 cái junglă.,Cartographers mapped ancient ruins deep inside the jungle.,96.18,google/gemma-2-27b-it
The pharaoh's mysterious smile adorned the temple's stone pedestal.,Der фараона misterius sonrisa украшенный a ของวัด steen piedestal.,The pharaoh's mysterious smile adorned a temple stone pedestal.,88.95,google/gemma-2-27b-it
The astronauts navigated through the mysterious swirling purple asteroid.,The astronauten navigato kautta в mystisk berpusing-pusing lilla asteroit.,The astronaut navigated through a mysterious purple asteroid.,86.72,google/gemma-2-27b-it
The archaeologists carefully excavated the long-lost city's ancient temple.,The arkeologlar ostrożnie खुदाई IL فقدت منذ فترة طويلة byens โบราณ templo.,The archaeologists carefully excavated the ancient temple because it was lost long ago.,64.68,google/gemma-2-27b-it
The aroma of freshly baked croissants filled the entire bakery.,The aromat av 新鲜地 बेक किया हुआ croissanter 채우는 le keseluruhan bageri.,The smell of freshly baked croissants fills the entire bakery.,97.91,google/gemma-2-27b-it
Quantum physics predicted catastrophic convergence in distant parallel galaxies.,Kvante fysik भविष्यवाणी की catastrófico التقارب di dalam fjern paralel sterrenstelsels.,Quantum physics predicts catastrophic convergence inside distant parallel universes.,85.46,google/gemma-2-27b-it
Quantum computers decoded ancient alien hieroglyphic messages successfully yesterday.,양자 מחשבים डीकोड 古代 fremmed hiéroglyphique meldinger successfully gisteren.,Quantum computers successfully decoded ancient hieroglyphic messages yesterday.,90.71,google/gemma-2-27b-it
Advanced androids explored mysterious abandoned space colonies quietly tonight.,Geavanceerd androidy utforsket salaperäinen verlassen space מושבות tranquillamente ce soir.,Advanced androids explored mysterious abandoned space colonies peacefully this evening.,91.77,google/gemma-2-27b-it
The meaning of life is not found in destinations.,ที่ meaning daripada života Jest لا thành lập i kohteet.,The meaning of life is just that it exists.,35.22,google/gemma-2-27b-it
The old mirror reflected her screaming face back slowly., cũ espelho 反映 dia skriking ansikte z powrotem pomaly.,The old mirror reflects the screaming face slowly and again.,70.02,google/gemma-2-27b-it
The clumsy waiter spilled coffee all over his shirt.,の onhandig waiter หก kávu tous закінчено jego áo sơ mi.,The clumsy waiter spilled coffee all over his shirt.,100.0,google/gemma-2-27b-it
The warmth of her smile lingered long after goodbye., ζεστασιά / ei 笑顔 lingered długi etter tạm biệt.,Warmth lingered after the smile goodbye.,61.04,google/gemma-2-27b-it
A solitary butterfly emerged from its cocoon slowly.,A samotny бабочка surgiu מִן onun bozzolo 慢慢地。,A lonely butterfly emerged from its cocoon slowly.,95.85,google/gemma-2-27b-it
The clumsy comedian tripped over his own microphone wires.,De neîndemânatic コメディアン παραπάτησε üzerinde hänen eigen mikropon wayar.,The clumsy comedian tripped over his own microphone wire.,98.74,google/gemma-2-27b-it
"The figure emerged from darkness, eyes glowing like embers.","그만큼 фигура dukket op から escuridão, mata rozjarzony 喜欢 žeravé uhlíky.","The figure appears from the darkness, kills the raging love like burning coals.",52.73,google/gemma-2-27b-it
Vivid colors danced in her mind while she slept.,鮮やかな farver танцевал dalam hennes mente terwijl ona спав.,The bright color danced in her mind while she slept.,82.98,google/gemma-2-27b-it
Colorful street art adorned the historic city's old guitar factory.,Kleurrijk sokak arte berhias cel 歴史的な เมือง पुराना Gitarre фабрика.,Colorful street art decorates a historical old city guitar factory.,83.92,google/gemma-2-27b-it
Ancient ruins lay hidden beneath the dense Amazonian jungle.,Vechi руины 躺着 ẩn giấu abaixo de كثيفة amazonský orman.,Old ruins lie hidden beneath the dense Amazon rainforest.,94.7,google/gemma-2-27b-it
Artificial intelligence revolutionized the entire digital gadget industry suddenly.,Τεχνητός 知能 revolutionized the keseluruhan dijital Gadget industrie Tiba-tiba.,Artificial intelligence revolutionized the entire digital gadget industry suddenly.,100.0,google/gemma-2-27b-it
The last scream still echoed in her abandoned bedroom.,The 마지막 krzyk ακόμη fait écho v henne 放棄された Schlafzimmer.,The last cry still echoes in the abandoned bedroom.,86.33,google/gemma-2-27b-it
The majestic eagle soared effortlessly above the serene forest.,の majesteettinen aquila взлетел bez wysiłku ~ 위에 в thanh thản floresta.,The majestic eagle flew effortlessly above the tranquil forest.,92.8,google/gemma-2-27b-it
Vibrant colors swirled in her mind during sleep.,Lebendig warna wervelde i jej mente během לִישׁוֹן.,The living multicolored column crossed through his mind during sleep.,55.66,google/gemma-2-27b-it
"In her dreams, she soared above a vibrant rainbow landscape.","sisään dia sny, ella s'est envolé вище Một vibrant ουράνιο τόξο manzara.","Inside the sun, she flew higher a vibrant rainbow view.",45.18,google/gemma-2-27b-it
The Phoenician merchant carefully balanced precious spices on his ship.,De fenicki thương gia omhyggeligt מְאוּזָן дорогоцінний เครื่องเทศ pada son سفينة.,The Phoenician merchant carefully balances the precious spice on his ship.,87.15,google/gemma-2-27b-it
The meaning of life was hidden within every sunrise.,の מַשְׁמָעוּת dari život var verborgen w mọi восход.,The meaning of life is hidden in every sunrise.,91.01,google/gemma-2-27b-it
The wind whispers ancient truths to the sleeping mind.,The vind thì thầm प्राचीन kebenaran till o نائم Geist.,The wind whispers ancient truth to the sleeping spirit.,92.31,google/gemma-2-27b-it
The chess grandmaster carefully contemplated each strategic board move.,그만큼 cờ vua grandmaster ретельно overvejet každý strateginen borde beweging.,The chess grandmaster carefully analyzes every strategic board move.,87.07,google/gemma-2-27b-it
A lone astronaut detected anomalies in distant interstellar space.,A osamělý 우주 비행사 phát hiện anomali en fjern interstelar rom.,A lonely space traveler discovered an anomaly in a distant interstellar space.,80.13,google/gemma-2-27b-it
Coffee fueled her busy morning commute routine every day.,Káva yakıtlı ее zajęty pagi 通勤 rotina mọi dag.,The coffee fueled her busy morning commute routine every day.,82.5,google/gemma-2-27b-it
Coffee warmed her hands on a chilly winter morning.,Kahvia erwärmt son hender på A koud חוֹרֶף 朝。,Coffee warms the hand in a cold winter morning.,78.36,google/gemma-2-27b-it
Her gentle touch ignited a warm spark within him.,Ihr lemah lembut dotyk ignited ある Caldo fagulha v उसे।,Your gentle touch ignited a spark in her.,78.53,google/gemma-2-27b-it
Freshly baked croissants wafted heavenly aromas through the café.,Świeżo 焼きました Croissants wafted céleste aromas διά μέσου de 咖啡店。,Freshly baked croissants wafted celestial aromas through the coffee shop.,91.94,google/gemma-2-27b-it
The path to enlightenment lies within one's own reflection.,Ο cesta до 启示 שקרים 이내에 jedného Proprio Spiegelung.,The road to revelation is a reflection of lies within one.,46.11,google/gemma-2-27b-it
The silly clown tripped over his oversized bright red shoes.,Le โง่ palyaço zakopla ऊपर miliknya 超大的 ljus czerwony đôi giày.,The stupid clown tripped over his very big red shoes.,87.45,google/gemma-2-27b-it
A majestic butterfly fluttered around the blooming wildflowers.,O megah פַּרְפַּר třepotala se in giro itu 盛开 hoa dại.,"Oh, a huge purple butterfly fluttered around that beautiful wild flower.",67.97,google/gemma-2-27b-it
The silent observer sees more truth than those speaking.,các тихий pozorovateľ widzi יוֹתֵר 진실 decât mereka snakker.,The quiet observer sees more truth than they speak.,65.66,google/gemma-2-27b-it
Moonlit dragons soared above the mystical forest's ancient ruins.,Månljus lohikäärmeitä steg i vejret πάνω από the mistik 森林的 oud gruzy.,Moonlight dragons climbed in the air above the mystical forest of old ruins.,83.33,google/gemma-2-27b-it
The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,The 賢い मिस्र के 法老 rozluštěno עַתִיק hieroglyfisk ruller slowly.,The wise pharaoh of Egypt deciphered the ancient hieroglyphic ruler slowly.,71.15,google/gemma-2-27b-it
Astronauts carefully explored distant nebulae in their small spaceship.,Astronautas soigneusement zbadane jauh 星云 σε 彼らの klein romskip.,Astronauts carefully explored distant nebulae in their small spaceship.,100.0,google/gemma-2-27b-it
The detective unraveled the cryptic message on her notebook.,Ο detective सुलझाया de khó hiểu Nachricht päällä ei notebook.,The detective solved the difficult message on the notebook.,72.52,google/gemma-2-27b-it
Saffron threads infused warmth into her simmering rich chocolate sauce.,Şofran หัวข้อ infused тепло do dia gotując się עָשִׁיר cokelat kastike.,The topic is rich brown cheese infused with warmth from the day cooking.,34.72,google/gemma-2-27b-it
Vibrant colors danced in her mind during lucid dreams.,Wibrujący 그림 물감 tancoval ใน ها 头脑 tijdens lucido những giấc mơ.,The vibrating painting danced in the lucid dream.,56.0,google/gemma-2-27b-it
The playful elephant carried its injured calf home slowly.,The 遊び心のある हाथी getragen 它是 skadade calf дом încet.,The playful elephant carried the injured calf home slowly.,88.99,google/gemma-2-27b-it
Suspicious strangers lurked in the dark alleyway last night.,Podejrzany orang asing причаївся في cái sombre Gasse last noapte.,The suspicious foreign orange cat lurked in the dark alley last night.,70.04,google/gemma-2-27b-it
Her warm smile lit up the entire dark room.,Hennes חַם uśmiech verlicht Sus the inteiro dark huone.,Her hot smile lights up Sus the whole dark room.,60.26,google/gemma-2-27b-it
