original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The painter's bold brushstrokes echoed Mozart's harmonious symphonic melodies perfectly.,De malerens pogrubiony penselstrøg 回响 του Μότσαρτ hài hòa sinfónico ท่วงทำนอง 아주.,The painter's enhanced brushstrokes echo the very symphonic melody of Mozart's harmony.,68.68,mistralai/mistral-large-2411
Summer's warmth slowly gave way to autumn's golden breeze.,夏の kemesraan lentement נתן Weg Do dell'autunno 황금의 สายลม,Slowly gave way to the breezes of summer and autumn gold.,54.54,mistralai/mistral-large-2411
The chess player sacrificed her queen for strategic advantage.,The catur Spieler poświęcony उसकी βασίλισσα for استراتيجي vantaggio.,The four player dedicated his queen for strategic advantage.,64.6,mistralai/mistral-large-2411
The smartphone's battery life lasted only one full day.,De 스마트폰의 bateri liv длился hanya one full dia.,The smartphone battery life lasted only one full day.,97.12,mistralai/mistral-large-2411
Alien spacecraft silently navigated through the uncharted cosmic nebula.,Alien statek kosmiczny tyst navigué durch 그만큼 незвіданий קוֹסמִי nebulosa.,The alien space ship quietly navigates through the unexplored cosmic nebula.,83.53,mistralai/mistral-large-2411
The chess champion sacrificed her royal title for freedom.,The หมากรุก juara sacrificato son kongelig タイトル para özgürlük.,The chess champion sacrificed his royal title for freedom.,88.84,mistralai/mistral-large-2411
The basketball team won the championship without any overtime.,các Basketball hold won itu campeonato без どれでも col tempo.,Those basketball hold won the championship without any with time.,56.07,mistralai/mistral-large-2411
Quantum physics predicted unpredictable outcomes from unstable wormholes.,Quântico ฟิสิกส์ ennustettu अप्रत्याशित результати aus нестабильный maskhål.,"Quantum physics predicted unexpected results, unstable wormhole.",78.35,mistralai/mistral-large-2411
Her morning coffee fueled her chaotic busy schedule perfectly.,Jej Pagi kahvia เชื้อเพลิง 그녀의 hỗn loạn busy takvim dokonale.,Her morning coffee fuel her chaos busy calendar perfectly.,81.77,mistralai/mistral-large-2411
The majestic elk roamed freely in its mountain habitat.,El מַלכּוּתִי elan wędrował frei dans isso é bjerg प्राकृतिक वास।,The royal spirit wandered free dance that is mountain natural residence.,20.05,mistralai/mistral-large-2411
The smartphone's advanced AI began secretly controlling my life.,O smartfona 고급의 Όλα συμπεριλαμβάνονται शुरू किया bí mật контролюючий 我的 ชีวิต.,The smartphone high-level all inclusive began secret controlling my life.,71.22,mistralai/mistral-large-2411
Astronauts discovered new galaxies while exploring distant cosmic neighborhoods.,Phi hành gia opdaget yeni galaktyki sementara εξερευνώντας entfernt kozmický 近所。,Pilot astronaut discovered new galaxies while exploring distant cosmic neighborhoods.,85.64,mistralai/mistral-large-2411
The vibrant souk filled the air with exotic spices suddenly., vibrerande souk भरा हुआ a อากาศ з exotic rempah ratus All'improvviso.,The vibrating market filled with a hundred exotic spices suddenly.,74.91,mistralai/mistral-large-2411
"Through hidden temples, archaeologists uncovered ancient golden relics.","בְּאֶמצָעוּת skjult kuil, arqueólogos terbongkar عتيق золотий реликвии.","By means of hidden pit, archaeologists uncover ancient golden relics.",76.29,mistralai/mistral-large-2411
The universe unfolds its mysteries in silence slowly.,The univers rozwija się suo záhady i stilte devagar.,The universe is expanding its mysteries and silence slowly.,80.56,mistralai/mistral-large-2411
The champion skateboarder performed a flawless triple axel trick.,De 챔피언 kaykaycı प्रदर्शन किया ある ไร้ที่ติ потрійний אקסל menipu.,The champion skater performed a flawless triple Axel delivers.,66.51,mistralai/mistral-large-2411
Snowflakes gently fell on the frozen winter landscape.,Fulgi de nea بلطف caiu SU  beku vinter ภูมิประเทศ.,Lightning of snow gently fell on frozen winter landscape.,68.32,mistralai/mistral-large-2411
Mystical warriors wielded ancient swords beneath starry midnight skies.,Mistik guerreros käyttivät 古代 thanh kiếm altında เต็มไปด้วยดวงดาว minuit שמיים.,Mystic warriors used ancient steel sword under a midnight sky full of stars.,78.03,mistralai/mistral-large-2411
Vibrant wildflowers bloomed rapidly beneath the morning sunbeams.,Яскравий vilda blommor mekar rapidement أسفل de 朝 แสงแดด,Bright wild flowers bloom rapidly under the sunlight.,72.59,mistralai/mistral-large-2411
Artificial intelligence processed vast amounts of human data daily.,Kunstig intelligence zpracováno vaste määriä de manusia dane יוֹמִי.,Artificial intelligence processed huge amounts of human data daily.,99.24,mistralai/mistral-large-2411
The colors blended harmoniously within her vibrant abstract paintings.,De الألوان pha trộn harmoniously w ei มีชีวิตชีวา περίληψη картини.,The colors mix harmoniously with liveliness completion picture.,45.0,mistralai/mistral-large-2411
The chess player focused intensely on her opponent's strategy.,El šach נַגָן tập trung intenzivně op henne motståndare استراتيجية.,The chess playing concentrated intensively on her opponent strategy.,79.87,mistralai/mistral-large-2411
The smartwatch track monitored her daily step count precisely tonight.,các smartklocka रास्ता monitorované dia päivittäin langkah عدد precisamente dnes večer.,"Some smartwatches monitor the path daily, precisely the number this evening.",44.59,mistralai/mistral-large-2411
The detective found a hidden clue in her notebook.,De detectiv พบ ある versteckt فكرة in suo cuốn sổ.,The detective found a hidden idea in his notebook.,85.78,mistralai/mistral-large-2411
Alien spacecraft descended quietly onto the deserted distant planet.,Alieno kozmická loď descended चुपचाप üzerine cái déserté 먼 Planet.,Alien cosmic ship descended quietly upon that deserted far planet.,80.3,mistralai/mistral-large-2411
A solitary falcon soared silently above the desert dunes.,A solitario 매 tăng vọt silenciosamente Sopra a woestijn เนินทราย,A lonely each soars silently above the desert sand dune.,61.41,mistralai/mistral-large-2411
The pharaoh's tomb remained hidden beneath the scorching desert sands.,Der фараона grav è rimasto 隠れた under את उष्णता صحراء pasir.,The pharaoh's grave has remained hidden under the heat desert sand.,81.05,mistralai/mistral-large-2411
Self-discovery lies at the core of true inner peace always.,自我发现 lži på itu ydin ile ilgili ægte interno спокій Sempre.,Self-discovery lies on it core related genuine internal peace always.,67.18,mistralai/mistral-large-2411
Trekkers navigated uncharted islands in search of ancient ruins.,Trekkerzy navigated inesplorato øer σε căutare de ikivanha Ruinen.,Trekkers navigated unexplored islands to search for ancient ruins.,86.77,mistralai/mistral-large-2411
Artificial intelligence algorithms learned from vast amounts of data.,Artificiale istihbarat thuật toán aprendido daripada omfattande סכומים z данные.,Artificial intelligence algorithm learned from extensive sums from data.,73.7,mistralai/mistral-large-2411
Artificial intelligence integrated seamlessly into every smartphone now.,Künstlich inteligenciu integrerad en toute transparence ~ 안으로 elk スマートフォン Şimdi.,Artificial intelligence integrated with full transparency inside each smartphone now.,79.08,mistralai/mistral-large-2411
Astronauts navigated through the galaxy's uncharted cosmic wormholes safely tonight.,Astronautit navigated ~을 통해 ที่ galakser inexploré kozmický червоточины सुरक्षित रूप से i kväll.,Astronauts navigated through the unexplored cosmic wormholes safely tonight.,92.64,mistralai/mistral-large-2411
Alien technology crashed silently into the abandoned spaceship's control room.,Alien teknoloji kaatui 静かに inn i IL övergiven nave espacial controle ruang.,Alien technology fell silently in the abandoned spaceship control space.,80.63,mistralai/mistral-large-2411
The aroma of freshly baked croissants filled her entire kitchen.,De аромат из طازجة paistettu croissanty diisi ei ทั้งหมด keuken.,The aroma of freshly baked croissants filled the entire kitchen.,92.49,mistralai/mistral-large-2411
Spring showers brought vibrant colors to the barren landscape suddenly.,Lente chuveiros getirilmiş vibrant кольори に le 荒芜 풍경 All'improvviso.,Slow showers have brought vibrant colors to the desolate landscape suddenly.,81.73,mistralai/mistral-large-2411
The professional tennis player carefully planned her comeback strategy.,ה επαγγελματίας tenis odtwarzacz cu grijă planejado 彼女 повернення strategi.,The professional tennis player with planned care she returns strategy.,43.45,mistralai/mistral-large-2411
The last autumn leaves fell gently onto the frozen lake.,The τελευταίος automne 나뭇잎 faldt обережно auf את zmrazené jezero.,The last autumn leaves fell carefully on the frozen lake.,96.25,mistralai/mistral-large-2411
The spaceship hurtled through the swirling vortex of dark matter.,The חֲלָלִית slengte через itu στροβιλίζεται xoáy nước з escuro Gegenstand.,The spacecraft length through that swirling whirlpool z dark object.,39.3,mistralai/mistral-large-2411
Cartographers mapped ancient ruins deep within the jungle.,Kartografer kartoitettu antik руины 深い 이내에 cái junglă.,The mapped antique ruins deep within the jungle.,66.19,mistralai/mistral-large-2411
The pharaoh's mysterious smile adorned the temple's stone pedestal.,Der фараона misterius sonrisa украшенный a ของวัด steen piedestal.,The pharaoh's mysterious smile decorated to the temple's stone pedestal.,88.62,mistralai/mistral-large-2411
The astronauts navigated through the mysterious swirling purple asteroid.,The astronauten navigato kautta в mystisk berpusing-pusing lilla asteroit.,The astronauts navigated through the mysterious spinning little asteroid.,86.93,mistralai/mistral-large-2411
The archaeologists carefully excavated the long-lost city's ancient temple.,The arkeologlar ostrożnie खुदाई IL فقدت منذ فترة طويلة byens โบราณ templo.,The archaeologists carefully excavated the city’s ancient temple that had been lost for a long time.,75.4,mistralai/mistral-large-2411
The aroma of freshly baked croissants filled the entire bakery.,The aromat av 新鲜地 बेक किया हुआ croissanter 채우는 le keseluruhan bageri.,The smell of freshly made croissants fills the whole bakery.,95.04,mistralai/mistral-large-2411
Quantum physics predicted catastrophic convergence in distant parallel galaxies.,Kvante fysik भविष्यवाणी की catastrófico التقارب di dalam fjern paralel sterrenstelsels.,Quantum physics forecast of catastrophic convergence in remote parallel galaxies.,84.41,mistralai/mistral-large-2411
Quantum computers decoded ancient alien hieroglyphic messages successfully yesterday.,양자 מחשבים डीकोड 古代 fremmed hiéroglyphique meldinger successfully gisteren.,Quantum computers decode ancient foreign hieroglyphic reports successfully yesterday.,77.59,mistralai/mistral-large-2411
Advanced androids explored mysterious abandoned space colonies quietly tonight.,Geavanceerd androidy utforsket salaperäinen verlassen space מושבות tranquillamente ce soir.,Advanced androids explore mysterious abandoned space colonies calmly this evening.,85.98,mistralai/mistral-large-2411
The meaning of life is not found in destinations.,ที่ meaning daripada života Jest لا thành lập i kohteet.,The meaning of life is to establish and destinations.,46.66,mistralai/mistral-large-2411
The old mirror reflected her screaming face back slowly., cũ espelho 反映 dia skriking ansikte z powrotem pomaly.,The old mirror reflects a terrifying face again slowly.,66.15,mistralai/mistral-large-2411
The clumsy waiter spilled coffee all over his shirt.,の onhandig waiter หก kávu tous закінчено jego áo sơ mi.,of clumsy waiter six coffee diving finished her shirt.,34.24,mistralai/mistral-large-2411
The warmth of her smile lingered long after goodbye., ζεστασιά / ei 笑顔 lingered długi etter tạm biệt.,Warmth not smile lingered long after goodbye.,63.86,mistralai/mistral-large-2411
A solitary butterfly emerged from its cocoon slowly.,A samotny бабочка surgiu מִן onun bozzolo 慢慢地。,The lonely butterfly emerged from its cocoon slowly.,94.31,mistralai/mistral-large-2411
The clumsy comedian tripped over his own microphone wires.,De neîndemânatic コメディアン παραπάτησε üzerinde hänen eigen mikropon wayar.,The street comedian stumbled on his own microphone wire.,79.45,mistralai/mistral-large-2411
"The figure emerged from darkness, eyes glowing like embers.","그만큼 фигура dukket op から escuridão, mata rozjarzony 喜欢 žeravé uhlíky.","So much figure appears from darkness, inflamed eye love glowing embers.",56.48,mistralai/mistral-large-2411
Vivid colors danced in her mind while she slept.,鮮やかな farver танцевал dalam hennes mente terwijl ona спав.,vivid colors danced in her mind while she slept.,98.81,mistralai/mistral-large-2411
Colorful street art adorned the historic city's old guitar factory.,Kleurrijk sokak arte berhias cel 歴史的な เมือง पुराना Gitarre фабрика.,Colorful street art decorated whole historical city old guitar factory.,78.48,mistralai/mistral-large-2411
Ancient ruins lay hidden beneath the dense Amazonian jungle.,Vechi руины 躺着 ẩn giấu abaixo de كثيفة amazonský orman.,Old ruins lying hidden below the dense Amazon rainforest.,83.43,mistralai/mistral-large-2411
Artificial intelligence revolutionized the entire digital gadget industry suddenly.,Τεχνητός 知能 revolutionized the keseluruhan dijital Gadget industrie Tiba-tiba.,Artificial intelligence revolutionized the entire digital gadget industry suddenly.,100.0,mistralai/mistral-large-2411
The last scream still echoed in her abandoned bedroom.,The 마지막 krzyk ακόμη fait écho v henne 放棄された Schlafzimmer.,The last scream still makes echo in her abandoned bedroom.,87.59,mistralai/mistral-large-2411
The majestic eagle soared effortlessly above the serene forest.,の majesteettinen aquila взлетел bez wysiłku ~ 위에 в thanh thản floresta.,The majestic eagle easily flew above the calm forest.,87.77,mistralai/mistral-large-2411
Vibrant colors swirled in her mind during sleep.,Lebendig warna wervelde i jej mente během לִישׁוֹן.,The alive vertebrate's color and mind while sleeping.,22.08,mistralai/mistral-large-2411
"In her dreams, she soared above a vibrant rainbow landscape.","sisään dia sny, ella s'est envolé вище Một vibrant ουράνιο τόξο manzara.","Into the snow, she flew away higher, one vibrant rainbow view.",34.15,mistralai/mistral-large-2411
The Phoenician merchant carefully balanced precious spices on his ship.,De fenicki thương gia omhyggeligt מְאוּזָן дорогоцінний เครื่องเทศ pada son سفينة.,The Phoenician merchant carefully balanced precious spice on his ship.,94.95,mistralai/mistral-large-2411
The meaning of life was hidden within every sunrise.,の מַשְׁמָעוּת dari život var verborgen w mọi восход.,The meaning from life is hidden in every sunrise.,83.09,mistralai/mistral-large-2411
The wind whispers ancient truths to the sleeping mind.,The vind thì thầm प्राचीन kebenaran till o نائم Geist.,The wind then whisper ancient truth to or sleeping spirit.,74.78,mistralai/mistral-large-2411
The chess grandmaster carefully contemplated each strategic board move.,그만큼 cờ vua grandmaster ретельно overvejet každý strateginen borde beweging.,That much chess grandmaster carefully considered each strategic move.,74.34,mistralai/mistral-large-2411
A lone astronaut detected anomalies in distant interstellar space.,A osamělý 우주 비행사 phát hiện anomali en fjern interstelar rom.,The lonely space pilot discover anomaly in distant interstellar space.,78.24,mistralai/mistral-large-2411
Coffee fueled her busy morning commute routine every day.,Káva yakıtlı ее zajęty pagi 通勤 rotina mọi dag.,Coffee fueled her busy morning commuting routine every day.,98.21,mistralai/mistral-large-2411
Coffee warmed her hands on a chilly winter morning.,Kahvia erwärmt son hender på A koud חוֹרֶף 朝。,Coffee warms his hands on a cold winter morning.,92.18,mistralai/mistral-large-2411
Her gentle touch ignited a warm spark within him.,Ihr lemah lembut dotyk ignited ある Caldo fagulha v उसे।,Your weak soft touch ignited exist hot spark in him.,56.48,mistralai/mistral-large-2411
Freshly baked croissants wafted heavenly aromas through the café.,Świeżo 焼きました Croissants wafted céleste aromas διά μέσου de 咖啡店。,Freshly baked croissants wafted heavenly aromas through of the cafe.,93.64,mistralai/mistral-large-2411
The path to enlightenment lies within one's own reflection.,Ο cesta до 启示 שקרים 이내에 jedného Proprio Spiegelung.,The journey to revelation lie within one's own reflection.,86.98,mistralai/mistral-large-2411
The silly clown tripped over his oversized bright red shoes.,Le โง่ palyaço zakopla ऊपर miliknya 超大的 ljus czerwony đôi giày.,The fool clown buries above his giant light red pair of shoes.,56.42,mistralai/mistral-large-2411
A majestic butterfly fluttered around the blooming wildflowers.,O megah פַּרְפַּר třepotala se in giro itu 盛开 hoa dại.,The cloud butterfly fluttered oneself in around that bloom wildflowers.,63.29,mistralai/mistral-large-2411
The silent observer sees more truth than those speaking.,các тихий pozorovateľ widzi יוֹתֵר 진실 decât mereka snakker.,Those quiet observer sees more truth than they speak.,60.56,mistralai/mistral-large-2411
Moonlit dragons soared above the mystical forest's ancient ruins.,Månljus lohikäärmeitä steg i vejret πάνω από the mistik 森林的 oud gruzy.,Moonlight dragons rose in the air over the mystic forest's old ruins.,86.69,mistralai/mistral-large-2411
The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,The 賢い मिस्र के 法老 rozluštěno עַתִיק hieroglyfisk ruller slowly.,The wise of Egypt pharaoh deciphered ancient hieroglyphic roll slowly.,71.53,mistralai/mistral-large-2411
Astronauts carefully explored distant nebulae in their small spaceship.,Astronautas soigneusement zbadane jauh 星云 σε 彼らの klein romskip.,Astronauts carefully researched far nebula in their small spaceship.,78.86,mistralai/mistral-large-2411
The detective unraveled the cryptic message on her notebook.,Ο detective सुलझाया de khó hiểu Nachricht päällä ei notebook.,The detective solved the difficult message on no notebook.,69.41,mistralai/mistral-large-2411
Saffron threads infused warmth into her simmering rich chocolate sauce.,Şofran หัวข้อ infused тепло do dia gotując się עָשִׁיר cokelat kastike.,Saffron topic infused warmth of the day boiling rich chocolate sauce.,48.73,mistralai/mistral-large-2411
Vibrant colors danced in her mind during lucid dreams.,Wibrujący 그림 물감 tancoval ใน ها 头脑 tijdens lucido những giấc mơ.,Vibrant picture paint danced in its mind during lucid the dreams.,70.31,mistralai/mistral-large-2411
The playful elephant carried its injured calf home slowly.,The 遊び心のある हाथी getragen 它是 skadade calf дом încet.,The playful elephant carried it is injured calf home slowly.,92.51,mistralai/mistral-large-2411
Suspicious strangers lurked in the dark alleyway last night.,Podejrzany orang asing причаївся في cái sombre Gasse last noapte.,The suspicious foreign person hid in a dark alley last night.,66.92,mistralai/mistral-large-2411
Her warm smile lit up the entire dark room.,Hennes חַם uśmiech verlicht Sus the inteiro dark huone.,Her warm smile lights up the whole dark room.,97.13,mistralai/mistral-large-2411
