original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
A flock of starlings formed a dazzling aerial silhouette.,А Herde av storni बनाया Một oslnivý 공중선 silhouette.,And a herd of staying made one dazzling aircraft silhouette.,45.43,openai/gpt-4o-mini
The painter's bold brushstrokes echoed Mozart's harmonious symphonic melodies perfectly.,De malerens pogrubiony penselstrøg 回响 του Μότσαρτ hài hòa sinfónico ท่วงทำนอง 아주.,The bold brushstroke of the painter echoes Mozart's very harmonious symphonic melodies.,79.06,openai/gpt-4o-mini
Summer's warmth slowly gave way to autumn's golden breeze.,夏の kemesraan lentement נתן Weg Do dell'autunno 황금의 สายลม,The golden breeze of summer gave slowly the way of autumn's affection.,61.72,openai/gpt-4o-mini
The chess player sacrificed her queen for strategic advantage.,The catur Spieler poświęcony उसकी βασίλισσα for استراتيجي vantaggio.,The chess player dedicated to her queen for strategic advantage.,75.76,openai/gpt-4o-mini
The smartphone's battery life lasted only one full day.,De 스마트폰의 bateri liv длился hanya one full dia.,The smartphone's battery lasted only one full day.,93.19,openai/gpt-4o-mini
Alien spacecraft silently navigated through the uncharted cosmic nebula.,Alien statek kosmiczny tyst navigué durch 그만큼 незвіданий קוֹסמִי nebulosa.,An alien space ship navigated through that much unexplored cosmic nebula.,71.3,openai/gpt-4o-mini
The chess champion sacrificed her royal title for freedom.,The หมากรุก juara sacrificato son kongelig タイトル para özgürlük.,The champion sacrificed his royal title for freedom.,78.46,openai/gpt-4o-mini
The basketball team won the championship without any overtime.,các Basketball hold won itu campeonato без どれでも col tempo.,The basketball holds that championship without any time.,54.27,openai/gpt-4o-mini
Quantum physics predicted unpredictable outcomes from unstable wormholes.,Quântico ฟิสิกส์ ennustettu अप्रत्याशित результати aus нестабильный maskhål.,Quantum physics predicted unexpected results of unstable mask holes.,77.43,openai/gpt-4o-mini
Her morning coffee fueled her chaotic busy schedule perfectly.,Jej Pagi kahvia เชื้อเพลิง 그녀의 hỗn loạn busy takvim dokonale.,Her morning coffee fuels her busy calendar perfectly.,85.69,openai/gpt-4o-mini
The majestic elk roamed freely in its mountain habitat.,El מַלכּוּתִי elan wędrował frei dans isso é bjerg प्राकृतिक वास।,The royal enthusiasm wandered free in this mountain natural habitat.,42.38,openai/gpt-4o-mini
The smartphone's advanced AI began secretly controlling my life.,O smartfona 고급의 Όλα συμπεριλαμβάνονται शुरू किया bí mật контролюючий 我的 ชีวิต.,The premium smartphone includes everything. A secret started controlling my life.,57.06,openai/gpt-4o-mini
Astronauts discovered new galaxies while exploring distant cosmic neighborhoods.,Phi hành gia opdaget yeni galaktyki sementara εξερευνώντας entfernt kozmický 近所。,The astronaut discovered new galaxies while exploring distant cosmic neighborhoods.,86.92,openai/gpt-4o-mini
The vibrant souk filled the air with exotic spices suddenly., vibrerande souk भरा हुआ a อากาศ з exotic rempah ratus All'improvviso.,"Suddenly, a vibrant market filled with exotic spices and air.",65.0,openai/gpt-4o-mini
"Through hidden temples, archaeologists uncovered ancient golden relics.","בְּאֶמצָעוּת skjult kuil, arqueólogos terbongkar عتيق золотий реликвии.","By means of hidden tombs, archaeologists uncover ancient golden relics.",79.05,openai/gpt-4o-mini
The universe unfolds its mysteries in silence slowly.,The univers rozwija się suo záhady i stilte devagar.,The universe develops its mysteries and stillness slowly.,72.76,openai/gpt-4o-mini
The champion skateboarder performed a flawless triple axel trick.,De 챔피언 kaykaycı प्रदर्शन किया ある ไร้ที่ติ потрійний אקסל menipu.,The champion skater performed a flawless triple axel to deceive.,65.9,openai/gpt-4o-mini
Snowflakes gently fell on the frozen winter landscape.,Fulgi de nea بلطف caiu SU  beku vinter ภูมิประเทศ.,Snowflakes gently fell the frozen winter landscape.,94.01,openai/gpt-4o-mini
Mystical warriors wielded ancient swords beneath starry midnight skies.,Mistik guerreros käyttivät 古代 thanh kiếm altında เต็มไปด้วยดวงดาว minuit שמיים.,The mystical warriors used an ancient sword under a midnight sky full of stars.,73.09,openai/gpt-4o-mini
Vibrant wildflowers bloomed rapidly beneath the morning sunbeams.,Яскравий vilda blommor mekar rapidement أسفل de 朝 แสงแดด,The bright wild flowers bloom quickly below the sunlight.,71.82,openai/gpt-4o-mini
Artificial intelligence processed vast amounts of human data daily.,Kunstig intelligence zpracováno vaste määriä de manusia dane יוֹמִי.,Artificial intelligence processed large amounts of human data daily.,98.96,openai/gpt-4o-mini
The colors blended harmoniously within her vibrant abstract paintings.,De الألوان pha trộn harmoniously w ei มีชีวิตชีวา περίληψη картини.,The colors mix harmoniously with lively life summary of paintings.,53.58,openai/gpt-4o-mini
The chess player focused intensely on her opponent's strategy.,El šach נַגָן tập trung intenzivně op henne motståndare استراتيجية.,The chess player focuses intensively on her opponent's strategy.,94.68,openai/gpt-4o-mini
The smartwatch track monitored her daily step count precisely tonight.,các smartklocka रास्ता monitorované dia päivittäin langkah عدد precisamente dnes večer.,The smartwatch monitors the number of steps precisely today evening.,68.17,openai/gpt-4o-mini
The detective found a hidden clue in her notebook.,De detectiv พบ ある versteckt فكرة in suo cuốn sổ.,The detective found an idea hidden in his notebook.,78.86,openai/gpt-4o-mini
Alien spacecraft descended quietly onto the deserted distant planet.,Alieno kozmická loď descended चुपचाप üzerine cái déserté 먼 Planet.,The alien space ship descended quietly over the deserted far planet.,77.56,openai/gpt-4o-mini
A solitary falcon soared silently above the desert dunes.,A solitario 매 tăng vọt silenciosamente Sopra a woestijn เนินทราย,A solitary hawk surges silently over the sand dunes of the desert.,77.04,openai/gpt-4o-mini
The pharaoh's tomb remained hidden beneath the scorching desert sands.,Der фараона grav è rimasto 隠れた under את उष्णता صحراء pasir.,The pharaoh's grave is hidden under the heat of the desert sand.,79.08,openai/gpt-4o-mini
Self-discovery lies at the core of true inner peace always.,自我发现 lži på itu ydin ile ilgili ægte interno спокій Sempre.,Self-discovery lies in the sincere internal peace related to that.,50.47,openai/gpt-4o-mini
Trekkers navigated uncharted islands in search of ancient ruins.,Trekkerzy navigated inesplorato øer σε căutare de ikivanha Ruinen.,Trekkers navigated unexplored islands in search of ancient ruins.,94.65,openai/gpt-4o-mini
Artificial intelligence algorithms learned from vast amounts of data.,Artificiale istihbarat thuật toán aprendido daripada omfattande סכומים z данные.,Artificial intelligence algorithm learned from comprehensive amounts of data.,86.71,openai/gpt-4o-mini
Artificial intelligence integrated seamlessly into every smartphone now.,Künstlich inteligenciu integrerad en toute transparence ~ 안으로 elk スマートフォン Şimdi.,The artificial intelligence is integrated with all transparency to the inside of every smartphone now.,63.95,openai/gpt-4o-mini
Astronauts navigated through the galaxy's uncharted cosmic wormholes safely tonight.,Astronautit navigated ~을 통해 ที่ galakser inexploré kozmický червоточины सुरक्षित रूप से i kväll.,The astronaut navigated through the unexplored cosmic wormholes safely this evening.,78.55,openai/gpt-4o-mini
Alien technology crashed silently into the abandoned spaceship's control room.,Alien teknoloji kaatui 静かに inn i IL övergiven nave espacial controle ruang.,The alien technology fell quietly in the abandoned spacecraft control space.,72.6,openai/gpt-4o-mini
The aroma of freshly baked croissants filled her entire kitchen.,De аромат из طازجة paistettu croissanty diisi ei ทั้งหมด keuken.,The aroma from fresh baked croissants does not fill the kitchen at all.,58.61,openai/gpt-4o-mini
Spring showers brought vibrant colors to the barren landscape suddenly.,Lente chuveiros getirilmiş vibrant кольори に le 荒芜 풍경 All'improvviso.,"Suddenly, in the barren landscape, the lens showers made vibrant colors.",60.34,openai/gpt-4o-mini
The professional tennis player carefully planned her comeback strategy.,ה επαγγελματίας tenis odtwarzacz cu grijă planejado 彼女 повернення strategi.,The professional tennis player carefully planned her return strategy.,85.08,openai/gpt-4o-mini
The last autumn leaves fell gently onto the frozen lake.,The τελευταίος automne 나뭇잎 faldt обережно auf את zmrazené jezero.,The last autumn leaves fell carefully on the frozen lake.,96.25,openai/gpt-4o-mini
The spaceship hurtled through the swirling vortex of dark matter.,The חֲלָלִית slengte через itu στροβιλίζεται xoáy nước з escuro Gegenstand.,The spaceship was pulled through that swirling whirl of dark water.,59.62,openai/gpt-4o-mini
Cartographers mapped ancient ruins deep within the jungle.,Kartografer kartoitettu antik руины 深い 이내에 cái junglă.,The cartographer mapped the ancient ruins deep within the jungle.,85.76,openai/gpt-4o-mini
The pharaoh's mysterious smile adorned the temple's stone pedestal.,Der фараона misterius sonrisa украшенный a ของวัด steen piedestal.,The mysterious smile of the decorated stone pedestal of the temple.,60.63,openai/gpt-4o-mini
The astronauts navigated through the mysterious swirling purple asteroid.,The astronauten navigato kautta в mystisk berpusing-pusing lilla asteroit.,The astronauts are navigating through a mystical spinning little asteroid.,79.85,openai/gpt-4o-mini
The archaeologists carefully excavated the long-lost city's ancient temple.,The arkeologlar ostrożnie खुदाई IL فقدت منذ فترة طويلة byens โบราณ templo.,"The archaeologists carefully excavated it, having lost it a long time ago in the ancient temple.",58.2,openai/gpt-4o-mini
The aroma of freshly baked croissants filled the entire bakery.,The aromat av 新鲜地 बेक किया हुआ croissanter 채우는 le keseluruhan bageri.,The aroma of freshly baked croissants filling the whole bakery.,93.5,openai/gpt-4o-mini
Quantum physics predicted catastrophic convergence in distant parallel galaxies.,Kvante fysik भविष्यवाणी की catastrófico التقارب di dalam fjern paralel sterrenstelsels.,Quantum physics of prediction is catastrophic convergence in the distant parallel galaxies.,71.94,openai/gpt-4o-mini
Quantum computers decoded ancient alien hieroglyphic messages successfully yesterday.,양자 מחשבים डीकोड 古代 fremmed hiéroglyphique meldinger successfully gisteren.,Quantum computers successfully decode ancient foreign hieroglyphic messages.,80.08,openai/gpt-4o-mini
Advanced androids explored mysterious abandoned space colonies quietly tonight.,Geavanceerd androidy utforsket salaperäinen verlassen space מושבות tranquillamente ce soir.,The advanced android explored the mysterious space settlements peacefully this evening.,67.69,openai/gpt-4o-mini
The meaning of life is not found in destinations.,ที่ meaning daripada života Jest لا thành lập i kohteet.,The meaning of life is not established and targets.,47.08,openai/gpt-4o-mini
The old mirror reflected her screaming face back slowly., cũ espelho 反映 dia skriking ansikte z powrotem pomaly.,The old mirror reflects the screaming face back slowly.,85.88,openai/gpt-4o-mini
The clumsy waiter spilled coffee all over his shirt.,の onhandig waiter หก kávu tous закінчено jego áo sơ mi.,"The clumsy waiter's six coffees are all finished, his shirt.",33.86,openai/gpt-4o-mini
The warmth of her smile lingered long after goodbye., ζεστασιά / ei 笑顔 lingered długi etter tạm biệt.,Warmth and a lingering smile after a long goodbye.,48.38,openai/gpt-4o-mini
A solitary butterfly emerged from its cocoon slowly.,A samotny бабочка surgiu מִן onun bozzolo 慢慢地。,A lonely butterfly emerged from its cocoon slowly.,95.85,openai/gpt-4o-mini
The clumsy comedian tripped over his own microphone wires.,De neîndemânatic コメディアン παραπάτησε üzerinde hänen eigen mikropon wayar.,The clumsy comedian stumbled on his own microphone wire.,94.9,openai/gpt-4o-mini
"The figure emerged from darkness, eyes glowing like embers.","그만큼 фигура dukket op から escuridão, mata rozjarzony 喜欢 žeravé uhlíky.","From the darkness, that much the figure appears illuminated like glowing coals.",43.71,openai/gpt-4o-mini
Vivid colors danced in her mind while she slept.,鮮やかな farver танцевал dalam hennes mente terwijl ona спав.,The vivid colors danced in her mind while she was asleep.,85.41,openai/gpt-4o-mini
Colorful street art adorned the historic city's old guitar factory.,Kleurrijk sokak arte berhias cel 歴史的な เมือง पुराना Gitarre фабрика.,The colorful street art decorates the historic old guitar factory.,78.61,openai/gpt-4o-mini
Ancient ruins lay hidden beneath the dense Amazonian jungle.,Vechi руины 躺着 ẩn giấu abaixo de كثيفة amazonský orman.,The old ruins lie hidden below the dense Amazon's forest.,83.83,openai/gpt-4o-mini
Artificial intelligence revolutionized the entire digital gadget industry suddenly.,Τεχνητός 知能 revolutionized the keseluruhan dijital Gadget industrie Tiba-tiba.,The artificial intelligence revolutionized the overall digital gadget industry suddenly.,90.46,openai/gpt-4o-mini
The last scream still echoed in her abandoned bedroom.,The 마지막 krzyk ακόμη fait écho v henne 放棄された Schlafzimmer.,The last shout still echoes in her abandoned bedroom.,93.86,openai/gpt-4o-mini
The majestic eagle soared effortlessly above the serene forest.,の majesteettinen aquila взлетел bez wysiłku ~ 위에 в thanh thản floresta.,The majestic eagle has soared effortlessly over the peaceful forest.,82.66,openai/gpt-4o-mini
Vibrant colors swirled in her mind during sleep.,Lebendig warna wervelde i jej mente během לִישׁוֹן.,Living color swirls and her mind during sleep.,62.33,openai/gpt-4o-mini
"In her dreams, she soared above a vibrant rainbow landscape.","sisään dia sny, ella s'est envolé вище Một vibrant ουράνιο τόξο manzara.","Inside the day, she has flown away higher than a vibrant rainbow view.",36.88,openai/gpt-4o-mini
The Phoenician merchant carefully balanced precious spices on his ship.,De fenicki thương gia omhyggeligt מְאוּזָן дорогоцінний เครื่องเทศ pada son سفينة.,The Phoenician merchant carefully balanced precious spices on his ship.,100.0,openai/gpt-4o-mini
The meaning of life was hidden within every sunrise.,の מַשְׁמָעוּת dari život var verborgen w mọi восход.,The meaning of life was hidden in all sunrises.,89.85,openai/gpt-4o-mini
The wind whispers ancient truths to the sleeping mind.,The vind thì thầm प्राचीन kebenaran till o نائم Geist.,The wind whispers ancient truth until the sleeping spirit.,83.67,openai/gpt-4o-mini
The chess grandmaster carefully contemplated each strategic board move.,그만큼 cờ vua grandmaster ретельно overvejet každý strateginen borde beweging.,So much a chess grandmaster carefully considers every strategic move.,67.6,openai/gpt-4o-mini
A lone astronaut detected anomalies in distant interstellar space.,A osamělý 우주 비행사 phát hiện anomali en fjern interstelar rom.,A lonely space astronaut discovers an anomaly in distant interstellar space.,84.19,openai/gpt-4o-mini
Coffee fueled her busy morning commute routine every day.,Káva yakıtlı ее zajęty pagi 通勤 rotina mọi dag.,Her fuel-powered coffee is busy every morning during the commute routine.,48.45,openai/gpt-4o-mini
Coffee warmed her hands on a chilly winter morning.,Kahvia erwärmt son hender på A koud חוֹרֶף 朝。,Coffee heated on his hands in a cold winter morning.,79.76,openai/gpt-4o-mini
Her gentle touch ignited a warm spark within him.,Ihr lemah lembut dotyk ignited ある Caldo fagulha v उसे।,Your gentle touch ignited a hot spark in you.,69.49,openai/gpt-4o-mini
Freshly baked croissants wafted heavenly aromas through the café.,Świeżo 焼きました Croissants wafted céleste aromas διά μέσου de 咖啡店。,Freshly baked croissants wafted heavenly aromas through the coffee shop.,95.11,openai/gpt-4o-mini
The path to enlightenment lies within one's own reflection.,Ο cesta до 启示 שקרים 이내에 jedného Proprio Spiegelung.,The basket to the revelation of lies within one's own reflection.,59.22,openai/gpt-4o-mini
The silly clown tripped over his oversized bright red shoes.,Le โง่ palyaço zakopla ऊपर miliknya 超大的 ljus czerwony đôi giày.,The stupid clown buries above his huge light red pair of shoes.,57.78,openai/gpt-4o-mini
A majestic butterfly fluttered around the blooming wildflowers.,O megah פַּרְפַּר třepotala se in giro itu 盛开 hoa dại.,The beautiful butterfly fluttered around that blooming wild flower.,81.23,openai/gpt-4o-mini
The silent observer sees more truth than those speaking.,các тихий pozorovateľ widzi יוֹתֵר 진실 decât mereka snakker.,The quiet observer sees more truth than they speak.,65.66,openai/gpt-4o-mini
Moonlit dragons soared above the mystical forest's ancient ruins.,Månljus lohikäärmeitä steg i vejret πάνω από the mistik 森林的 oud gruzy.,The moonlight steps in the air above the mist of the old dragons' forest.,51.62,openai/gpt-4o-mini
The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,The 賢い मिस्र के 法老 rozluštěno עַתִיק hieroglyfisk ruller slowly.,A wise Egyptian Pharaoh decodes ancient hieroglyphics slowly.,82.74,openai/gpt-4o-mini
Astronauts carefully explored distant nebulae in their small spaceship.,Astronautas soigneusement zbadane jauh 星云 σε 彼らの klein romskip.,The astronauts carefully examined the distant nebula in their small spaceship.,75.0,openai/gpt-4o-mini
The detective unraveled the cryptic message on her notebook.,Ο detective सुलझाया de khó hiểu Nachricht päällä ei notebook.,The detective solved the confusing message on the notebook.,78.15,openai/gpt-4o-mini
Saffron threads infused warmth into her simmering rich chocolate sauce.,Şofran หัวข้อ infused тепло do dia gotując się עָשִׁיר cokelat kastike.,Saffron topic infused warm of the day cooking rich chocolate sauce.,42.17,openai/gpt-4o-mini
Vibrant colors danced in her mind during lucid dreams.,Wibrujący 그림 물감 tancoval ใน ها 头脑 tijdens lucido những giấc mơ.,Vibrating painting danced in their mind during lucid dreams.,70.77,openai/gpt-4o-mini
The playful elephant carried its injured calf home slowly.,The 遊び心のある हाथी getragen 它是 skadade calf дом încet.,The playful elephant is carried; it is an injured calf slowly.,36.63,openai/gpt-4o-mini
Suspicious strangers lurked in the dark alleyway last night.,Podejrzany orang asing причаївся في cái sombre Gasse last noapte.,A suspicious foreigner was lurking in the dark alley last night.,78.02,openai/gpt-4o-mini
Her warm smile lit up the entire dark room.,Hennes חַם uśmiech verlicht Sus the inteiro dark huone.,Her warm smile lights up the entire dark room.,98.11,openai/gpt-4o-mini
