original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
A solitary fawn emerged from the misty forest shadows.,UM โดดเดี่ยว تزلف muncul fra le 蒙蒙 skog тіні.,A lonely flatterer appears from the misty forest shadows.,76.51,deepseek/deepseek-chat
"Mystical creatures gathered beneath the ancient, glowing moonstone pedestal.","Mistik สิ่งมีชีวิต verzameld под cái eldgammel, प्रकाश से युक्त månsten אֶדֶן.","Mystical creature collected under the ancient, light-filled moonstone foundation.",68.65,deepseek/deepseek-chat
Local artisans preserved ancient traditions in rural Nepal villages.,현지의 τεχνίτες bảo quản starověký ประเพณี em 田舎 Непал obce.,Local artisans preserve ancient traditions in rural Nepal villages.,91.33,deepseek/deepseek-chat
The smartphone screen flickered to life after complete darkness.,The स्मार्टफोन écran parpadeó ke vita หลังจาก לְהַשְׁלִים bóng tối.,The smartphone screen blinked to life after completing the darkness.,77.0,deepseek/deepseek-chat
The ancient sage walked alone in profound silence tonight.,các عتيق חָכָם walked 独自的 в mendalam 고요 dziś wieczorem.,The wise old man walked alone into the deep calm tonight.,78.88,deepseek/deepseek-chat
Detectives finally cracked the cryptic code in the abandoned mansion.,Detektif Finalmente متصدع o kryptisch код W a bị bỏ rơi conac.,The detective finally cracked the cryptic code and abandoned the mansion.,66.06,deepseek/deepseek-chat
A flock of starlings formed a dazzling aerial silhouette.,А Herde av storni बनाया Một oslnivý 공중선 silhouette.,A herd of storks created a dazzling aerial silhouette.,88.55,deepseek/deepseek-chat
The painter's bold brushstrokes echoed Mozart's harmonious symphonic melodies perfectly.,De malerens pogrubiony penselstrøg 回响 του Μότσαρτ hài hòa sinfónico ท่วงทำนอง 아주.,The painter's bold brushstroke echoes Mozart's harmonious symphonic melody very.,78.49,deepseek/deepseek-chat
Summer's warmth slowly gave way to autumn's golden breeze.,夏の kemesraan lentement נתן Weg Do dell'autunno 황금의 สายลม,The summer love slowly gave way to the golden wind of autumn.,77.88,deepseek/deepseek-chat
The chess player sacrificed her queen for strategic advantage.,The catur Spieler poświęcony उसकी βασίλισσα for استراتيجي vantaggio.,The chess player dedicated his queen for strategic advantage.,84.77,deepseek/deepseek-chat
The smartphone's battery life lasted only one full day.,De 스마트폰의 bateri liv длился hanya one full dia.,The smartphone's battery life lasted only one full day.,100.0,deepseek/deepseek-chat
Alien spacecraft silently navigated through the uncharted cosmic nebula.,Alien statek kosmiczny tyst navigué durch 그만큼 незвіданий קוֹסמִי nebulosa.,The alien spaceship quietly navigated through the unknown cosmic nebula.,85.8,deepseek/deepseek-chat
The chess champion sacrificed her royal title for freedom.,The หมากรุก juara sacrificato son kongelig タイトル para özgürlük.,The chess champion sacrificed his royal title for freedom.,88.84,deepseek/deepseek-chat
The basketball team won the championship without any overtime.,các Basketball hold won itu campeonato без どれでも col tempo.,The basketball team won the championship without any time.,85.79,deepseek/deepseek-chat
Quantum physics predicted unpredictable outcomes from unstable wormholes.,Quântico ฟิสิกส์ ennustettu अप्रत्याशित результати aus нестабильный maskhål.,Quantum physics predicted unexpected results from an unstable wormhole.,84.54,deepseek/deepseek-chat
Her morning coffee fueled her chaotic busy schedule perfectly.,Jej Pagi kahvia เชื้อเพลิง 그녀의 hỗn loạn busy takvim dokonale.,Her morning coffee fuels her chaotic busy schedule perfectly.,96.73,deepseek/deepseek-chat
The majestic elk roamed freely in its mountain habitat.,El מַלכּוּתִי elan wędrował frei dans isso é bjerg प्राकृतिक वास।,The royal elan wandered freely in this is mountain natural habitat.,57.97,deepseek/deepseek-chat
The smartphone's advanced AI began secretly controlling my life.,O smartfona 고급의 Όλα συμπεριλαμβάνονται शुरू किया bí mật контролюючий 我的 ชีวิต.,The smartphone of high quality started everything included secretly controlling my life.,59.66,deepseek/deepseek-chat
Astronauts discovered new galaxies while exploring distant cosmic neighborhoods.,Phi hành gia opdaget yeni galaktyki sementara εξερευνώντας entfernt kozmický 近所。,The astronaut discovered new galaxies while exploring distant cosmic neighborhoods.,86.92,deepseek/deepseek-chat
The vibrant souk filled the air with exotic spices suddenly., vibrerande souk भरा हुआ a อากาศ з exotic rempah ratus All'improvviso.,The vibrating market filled with exotic air and hundreds of spices suddenly.,75.04,deepseek/deepseek-chat
"Through hidden temples, archaeologists uncovered ancient golden relics.","בְּאֶמצָעוּת skjult kuil, arqueólogos terbongkar عتيق золотий реликвии.","Through a hidden pit, archaeologists uncovered ancient golden relics.",84.51,deepseek/deepseek-chat
The universe unfolds its mysteries in silence slowly.,The univers rozwija się suo záhady i stilte devagar.,The universe develops its mysteries and silence slowly.,80.66,deepseek/deepseek-chat
The champion skateboarder performed a flawless triple axel trick.,De 챔피언 kaykaycı प्रदर्शन किया ある ไร้ที่ติ потрійний אקסל menipu.,"The champion skater performed a flawless triple axel, deceived.",64.63,deepseek/deepseek-chat
Snowflakes gently fell on the frozen winter landscape.,Fulgi de nea بلطف caiu SU  beku vinter ภูมิประเทศ.,Snowflakes gently fell on the frozen winter landscape.,100.0,deepseek/deepseek-chat
Mystical warriors wielded ancient swords beneath starry midnight skies.,Mistik guerreros käyttivät 古代 thanh kiếm altında เต็มไปด้วยดวงดาว minuit שמיים.,Mystic warriors used ancient swords under the star-filled midnight sky.,86.24,deepseek/deepseek-chat
Vibrant wildflowers bloomed rapidly beneath the morning sunbeams.,Яскравий vilda blommor mekar rapidement أسفل de 朝 แสงแดด,Bright wild flowers bloom quickly under the morning sunlight.,77.23,deepseek/deepseek-chat
Artificial intelligence processed vast amounts of human data daily.,Kunstig intelligence zpracováno vaste määriä de manusia dane יוֹמִי.,Artificial intelligence processes vast amounts of human data daily.,95.01,deepseek/deepseek-chat
The colors blended harmoniously within her vibrant abstract paintings.,De الألوان pha trộn harmoniously w ei มีชีวิตชีวา περίληψη картини.,The colors blend harmoniously with a vibrant summary of the painting.,60.9,deepseek/deepseek-chat
The chess player focused intensely on her opponent's strategy.,El šach נַגָן tập trung intenzivně op henne motståndare استراتيجية.,The chess player focuses intensely on the hen opponent strategy.,70.11,deepseek/deepseek-chat
The smartwatch track monitored her daily step count precisely tonight.,các smartklocka रास्ता monitorované dia päivittäin langkah عدد precisamente dnes večer.,The smart watch path monitored day daily step number precisely tonight.,70.59,deepseek/deepseek-chat
The detective found a hidden clue in her notebook.,De detectiv พบ ある versteckt فكرة in suo cuốn sổ.,The detective found a hidden idea in his notebook.,85.78,deepseek/deepseek-chat
Alien spacecraft descended quietly onto the deserted distant planet.,Alieno kozmická loď descended चुपचाप üzerine cái déserté 먼 Planet.,The alien spaceship descended quietly upon the deserted distant planet.,90.31,deepseek/deepseek-chat
A solitary falcon soared silently above the desert dunes.,A solitario 매 tăng vọt silenciosamente Sopra a woestijn เนินทราย,A lonely horse rises silently above a desert sand dune.,68.76,deepseek/deepseek-chat
The pharaoh's tomb remained hidden beneath the scorching desert sands.,Der фараона grav è rimasto 隠れた under את उष्णता صحراء pasir.,The pharaoh's grave remained hidden under the heat of the desert sand.,88.73,deepseek/deepseek-chat
Self-discovery lies at the core of true inner peace always.,自我发现 lži på itu ydin ile ilgili ægte interno спокій Sempre.,Self-discovery lies at the core of true internal peace always.,94.52,deepseek/deepseek-chat
Trekkers navigated uncharted islands in search of ancient ruins.,Trekkerzy navigated inesplorato øer σε căutare de ikivanha Ruinen.,The hikers navigated unexplored islands in search of the old ruins.,69.61,deepseek/deepseek-chat
Artificial intelligence algorithms learned from vast amounts of data.,Artificiale istihbarat thuật toán aprendido daripada omfattande סכומים z данные.,Artificial intelligence algorithms learned from vast sums of data.,98.97,deepseek/deepseek-chat
Artificial intelligence integrated seamlessly into every smartphone now.,Künstlich inteligenciu integrerad en toute transparence ~ 안으로 elk スマートフォン Şimdi.,Artificial intelligence integrated seamlessly into smartphones now.,91.46,deepseek/deepseek-chat
Astronauts navigated through the galaxy's uncharted cosmic wormholes safely tonight.,Astronautit navigated ~을 통해 ที่ galakser inexploré kozmický червоточины सुरक्षित रूप से i kväll.,Astronauts navigated through the unexplored galaxy cosmic wormholes safely tonight.,92.67,deepseek/deepseek-chat
Alien technology crashed silently into the abandoned spaceship's control room.,Alien teknoloji kaatui 静かに inn i IL övergiven nave espacial controle ruang.,The alien technology quietly fell into the abandoned spaceship control room.,81.92,deepseek/deepseek-chat
The aroma of freshly baked croissants filled her entire kitchen.,De аромат из طازجة paistettu croissanty diisi ei ทั้งหมด keuken.,The aroma of freshly baked stuffed croissants filled the entire kitchen.,89.46,deepseek/deepseek-chat
Spring showers brought vibrant colors to the barren landscape suddenly.,Lente chuveiros getirilmiş vibrant кольори に le 荒芜 풍경 All'improvviso.,Slow showers brought vibrant colors to the desolate landscape suddenly.,83.59,deepseek/deepseek-chat
The professional tennis player carefully planned her comeback strategy.,ה επαγγελματίας tenis odtwarzacz cu grijă planejado 彼女 повернення strategi.,The professional tennis player carefully planned her return strategy.,85.08,deepseek/deepseek-chat
The last autumn leaves fell gently onto the frozen lake.,The τελευταίος automne 나뭇잎 faldt обережно auf את zmrazené jezero.,The last autumn leaf fell carefully on the frozen lake.,89.79,deepseek/deepseek-chat
The spaceship hurtled through the swirling vortex of dark matter.,The חֲלָלִית slengte через itu στροβιλίζεται xoáy nước з escuro Gegenstand.,The spaceship threw through it swirls dark object.,48.49,deepseek/deepseek-chat
Cartographers mapped ancient ruins deep within the jungle.,Kartografer kartoitettu antik руины 深い 이내에 cái junglă.,Cartographers mapped ancient ruins deep within the jungle.,100.0,deepseek/deepseek-chat
The pharaoh's mysterious smile adorned the temple's stone pedestal.,Der фараона misterius sonrisa украшенный a ของวัด steen piedestal.,The pharaoh's mysterious smile adorned a temple stone pedestal.,88.95,deepseek/deepseek-chat
The astronauts navigated through the mysterious swirling purple asteroid.,The astronauten navigato kautta в mystisk berpusing-pusing lilla asteroit.,The astronaut navigates through the mysterious spinning little asteroid.,86.89,deepseek/deepseek-chat
The archaeologists carefully excavated the long-lost city's ancient temple.,The arkeologlar ostrożnie खुदाई IL فقدت منذ فترة طويلة byens โบราณ templo.,The archaeologists carefully excavated the long-lost ancient city temple.,94.24,deepseek/deepseek-chat
The aroma of freshly baked croissants filled the entire bakery.,The aromat av 新鲜地 बेक किया हुआ croissanter 채우는 le keseluruhan bageri.,The aroma of freshly baked croissants fills the entire bakery.,98.53,deepseek/deepseek-chat
Quantum physics predicted catastrophic convergence in distant parallel galaxies.,Kvante fysik भविष्यवाणी की catastrófico التقارب di dalam fjern paralel sterrenstelsels.,Quantum physics predicted a catastrophic convergence within distant parallel galaxies.,93.52,deepseek/deepseek-chat
Quantum computers decoded ancient alien hieroglyphic messages successfully yesterday.,양자 מחשבים डीकोड 古代 fremmed hiéroglyphique meldinger successfully gisteren.,Quantum computers decode ancient foreign hieroglyphic messages successfully yesterday.,86.0,deepseek/deepseek-chat
Advanced androids explored mysterious abandoned space colonies quietly tonight.,Geavanceerd androidy utforsket salaperäinen verlassen space מושבות tranquillamente ce soir.,Advanced androids explored mysterious abandoned space colonies quietly tonight.,100.0,deepseek/deepseek-chat
The meaning of life is not found in destinations.,ที่ meaning daripada života Jest لا thành lập i kohteet.,The meaning of life is not to establish and targets.,64.72,deepseek/deepseek-chat
The old mirror reflected her screaming face back slowly., cũ espelho 反映 dia skriking ansikte z powrotem pomaly.,The old mirror reflects the day screaming face back slowly.,71.52,deepseek/deepseek-chat
The clumsy waiter spilled coffee all over his shirt.,の onhandig waiter หก kávu tous закінчено jego áo sơ mi.,The clumsy waiter spilled the coffee all over his white shirt.,88.72,deepseek/deepseek-chat
The warmth of her smile lingered long after goodbye., ζεστασιά / ei 笑顔 lingered długi etter tạm biệt.,The warmth / a smile lingered long after goodbye.,73.94,deepseek/deepseek-chat
A solitary butterfly emerged from its cocoon slowly.,A samotny бабочка surgiu מִן onun bozzolo 慢慢地。,A lonely butterfly emerged from its cocoon slowly.,95.85,deepseek/deepseek-chat
The clumsy comedian tripped over his own microphone wires.,De neîndemânatic コメディアン παραπάτησε üzerinde hänen eigen mikropon wayar.,The clumsy comedian stepped on his own microphone wire.,88.29,deepseek/deepseek-chat
"The figure emerged from darkness, eyes glowing like embers.","그만큼 фигура dukket op から escuridão, mata rozjarzony 喜欢 žeravé uhlíky.","The figure emerged from the darkness, like glowing embers.",73.85,deepseek/deepseek-chat
Vivid colors danced in her mind while she slept.,鮮やかな farver танцевал dalam hennes mente terwijl ona спав.,The vivid colors danced in her mind while she slept.,89.38,deepseek/deepseek-chat
Colorful street art adorned the historic city's old guitar factory.,Kleurrijk sokak arte berhias cel 歴史的な เมือง पुराना Gitarre фабрика.,Colorful street art adorns the historic city old guitar factory.,81.03,deepseek/deepseek-chat
Ancient ruins lay hidden beneath the dense Amazonian jungle.,Vechi руины 躺着 ẩn giấu abaixo de كثيفة amazonský orman.,The old ruins lie hidden below the dense Amazonian forest.,84.26,deepseek/deepseek-chat
Artificial intelligence revolutionized the entire digital gadget industry suddenly.,Τεχνητός 知能 revolutionized the keseluruhan dijital Gadget industrie Tiba-tiba.,Artificial intelligence revolutionized the entire digital gadget industry suddenly.,100.0,deepseek/deepseek-chat
The last scream still echoed in her abandoned bedroom.,The 마지막 krzyk ακόμη fait écho v henne 放棄された Schlafzimmer.,The last cry still echoes in her abandoned bedroom.,95.21,deepseek/deepseek-chat
The majestic eagle soared effortlessly above the serene forest.,の majesteettinen aquila взлетел bez wysiłku ~ 위에 в thanh thản floresta.,The majestic eagle soared effortlessly above the serene forest.,100.0,deepseek/deepseek-chat
Vibrant colors swirled in her mind during sleep.,Lebendig warna wervelde i jej mente během לִישׁוֹן.,Lively color swirled in her mind while sleeping.,89.79,deepseek/deepseek-chat
"In her dreams, she soared above a vibrant rainbow landscape.","sisään dia sny, ella s'est envolé вище Một vibrant ουράνιο τόξο manzara.","Into the day, she flew higher a vibrant rainbow scene.",42.19,deepseek/deepseek-chat
The Phoenician merchant carefully balanced precious spices on his ship.,De fenicki thương gia omhyggeligt מְאוּזָן дорогоцінний เครื่องเทศ pada son سفينة.,The Phoenician merchant carefully balanced precious spices on his ship.,100.0,deepseek/deepseek-chat
The meaning of life was hidden within every sunrise.,の מַשְׁמָעוּת dari život var verborgen w mọi восход.,The meaning of life was hidden in every sunrise.,94.61,deepseek/deepseek-chat
The wind whispers ancient truths to the sleeping mind.,The vind thì thầm प्राचीन kebenaran till o نائم Geist.,The wind whispers ancient truth to the sleeping spirit.,92.31,deepseek/deepseek-chat
The chess grandmaster carefully contemplated each strategic board move.,그만큼 cờ vua grandmaster ретельно overvejet každý strateginen borde beweging.,The chess grandmaster carefully considers every strategic movement.,85.53,deepseek/deepseek-chat
A lone astronaut detected anomalies in distant interstellar space.,A osamělý 우주 비행사 phát hiện anomali en fjern interstelar rom.,A lonely astronaut detects an anomaly in a distant interstellar space.,87.88,deepseek/deepseek-chat
Coffee fueled her busy morning commute routine every day.,Káva yakıtlı ее zajęty pagi 通勤 rotina mọi dag.,Coffee fueled her busy morning commute routine every day.,100.0,deepseek/deepseek-chat
Coffee warmed her hands on a chilly winter morning.,Kahvia erwärmt son hender på A koud חוֹרֶף 朝。,Coffee warms the sun hands on a cold winter morning.,69.57,deepseek/deepseek-chat
Her gentle touch ignited a warm spark within him.,Ihr lemah lembut dotyk ignited ある Caldo fagulha v उसे।,Her gentle touch ignited a warm spark in him.,99.7,deepseek/deepseek-chat
Freshly baked croissants wafted heavenly aromas through the café.,Świeżo 焼きました Croissants wafted céleste aromas διά μέσου de 咖啡店。,Freshly baked croissants wafted heavenly aromas through the coffee shop.,95.11,deepseek/deepseek-chat
The path to enlightenment lies within one's own reflection.,Ο cesta до 启示 שקרים 이내에 jedného Proprio Spiegelung.,The path to revelation lies within one's own reflection.,95.3,deepseek/deepseek-chat
The silly clown tripped over his oversized bright red shoes.,Le โง่ palyaço zakopla ऊपर miliknya 超大的 ljus czerwony đôi giày.,The stupid clown jumped over his extremely large red light pair of shoes.,63.84,deepseek/deepseek-chat
A majestic butterfly fluttered around the blooming wildflowers.,O megah פַּרְפַּר třepotala se in giro itu 盛开 hoa dại.,The giant butterfly fluttered around that blooming wildflower.,80.36,deepseek/deepseek-chat
The silent observer sees more truth than those speaking.,các тихий pozorovateľ widzi יוֹתֵר 진실 decât mereka snakker.,The quiet observer sees more truth than they speak.,65.66,deepseek/deepseek-chat
Moonlit dragons soared above the mystical forest's ancient ruins.,Månljus lohikäärmeitä steg i vejret πάνω από the mistik 森林的 oud gruzy.,Moonlight dragons step into the air above the mystical forest of old debris.,72.97,deepseek/deepseek-chat
The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,The 賢い मिस्र के 法老 rozluštěno עַתִיק hieroglyfisk ruller slowly.,The wise Egyptian pharaoh deciphered ancient hieroglyphic scrolls slowly.,100.0,deepseek/deepseek-chat
Astronauts carefully explored distant nebulae in their small spaceship.,Astronautas soigneusement zbadane jauh 星云 σε 彼らの klein romskip.,Astronauts carefully examined distant nebula in their small spaceship.,85.17,deepseek/deepseek-chat
The detective unraveled the cryptic message on her notebook.,Ο detective सुलझाया de khó hiểu Nachricht päällä ei notebook.,The detective solved the mysterious message on his notebook.,79.18,deepseek/deepseek-chat
Saffron threads infused warmth into her simmering rich chocolate sauce.,Şofran หัวข้อ infused тепло do dia gotując się עָשִׁיר cokelat kastike.,Saffron topic infused heat of the day cooking itself rich chocolate sauce.,41.0,deepseek/deepseek-chat
Vibrant colors danced in her mind during lucid dreams.,Wibrujący 그림 물감 tancoval ใน ها 头脑 tijdens lucido những giấc mơ.,The vibrating picture paint danced in her lucid dreams.,58.57,deepseek/deepseek-chat
The playful elephant carried its injured calf home slowly.,The 遊び心のある हाथी getragen 它是 skadade calf дом încet.,The playful elephant carried it is injured calf house slowly.,87.47,deepseek/deepseek-chat
Suspicious strangers lurked in the dark alleyway last night.,Podejrzany orang asing причаївся في cái sombre Gasse last noapte.,The suspicious foreigner lurked in the dark alley last night.,77.84,deepseek/deepseek-chat
Her warm smile lit up the entire dark room.,Hennes חַם uśmiech verlicht Sus the inteiro dark huone.,Her warm smile brightens Sus the entire dark room.,78.73,deepseek/deepseek-chat
